user_id,timestamp,treatment,conversion,revenue,exposure_count,category,channel,event_type
USR_00161,2025-12-15 22:02:21,1,0,0.0,9,Electronics,In-App Push Message,campaign_interaction
USR_01090,2025-12-15 22:08:34,0,0,0.0,2,Fashion,Retargeting Display Banner,campaign_interaction
USR_00476,2025-12-15 22:14:50,1,0,0.0,2,Beauty,Email Newsletter,campaign_interaction
USR_00460,2025-12-15 22:26:09,1,0,0.0,8,Electronics,Retargeting Display Banner,campaign_interaction
USR_00925,2025-12-15 22:31:45,1,1,8018.93,12,Beauty,Paid Search Ad,campaign_interaction
USR_01121,2025-12-15 22:35:22,1,0,0.0,10,Electronics,Retargeting Display Banner,campaign_interaction
USR_00428,2025-12-15 22:37:13,1,0,0.0,4,Fashion,In-App Push Message,campaign_interaction
USR_00567,2025-12-15 22:47:10,1,0,0.0,2,Electronics,Paid Search Ad,campaign_interaction
USR_00114,2025-12-15 22:49:18,1,0,0.0,1,Fashion,Email Newsletter,campaign_interaction
USR_00489,2025-12-15 22:56:32,1,0,0.0,6,Home,Retargeting Display Banner,campaign_interaction
USR_01892,2025-12-15 23:01:11,1,0,0.0,7,Beauty,Email Newsletter,campaign_interaction
USR_00984,2025-12-15 23:02:38,1,0,0.0,6,Home,Email Newsletter,campaign_interaction
USR_01651,2025-12-15 23:13:21,0,0,0.0,3,Home,Retargeting Display Banner,campaign_interaction
USR_01405,2025-12-15 23:14:57,1,0,0.0,12,Fashion,Paid Search Ad,campaign_interaction
USR_00300,2025-12-15 23:16:58,1,0,0.0,4,Sports,Paid Search Ad,campaign_interaction
USR_00403,2025-12-15 23:25:39,0,0,0.0,5,Home,Retargeting Display Banner,campaign_interaction
USR_01287,2025-12-15 23:29:39,1,0,0.0,9,Beauty,Email Newsletter,campaign_interaction
USR_00783,2025-12-15 23:50:34,0,0,0.0,11,Home,In-App Push Message,campaign_interaction
USR_01113,2025-12-15 23:53:30,1,0,0.0,6,Electronics,In-App Push Message,campaign_interaction
USR_01826,2025-12-16 00:02:54,1,1,2906.32,8,Sports,In-App Push Message,campaign_interaction
USR_00151,2025-12-16 00:03:07,1,1,9794.7,1,Electronics,In-App Push Message,campaign_interaction
USR_01100,2025-12-16 00:29:35,1,0,0.0,11,Fashion,Paid Search Ad,campaign_interaction
USR_00125,2025-12-16 00:50:15,1,0,0.0,4,Beauty,Email Newsletter,campaign_interaction
USR_00136,2025-12-16 01:16:05,1,1,15381.56,8,Home,In-App Push Message,campaign_interaction
USR_00002,2025-12-16 01:17:06,1,0,0.0,6,Electronics,Paid Search Ad,campaign_interaction
USR_01955,2025-12-16 01:20:00,1,0,0.0,11,Home,Retargeting Display Banner,campaign_interaction
USR_00455,2025-12-16 01:33:16,1,0,0.0,12,Fashion,Paid Search Ad,campaign_interaction
USR_01050,2025-12-16 01:42:51,1,0,0.0,11,Fashion,In-App Push Message,campaign_interaction
USR_00164,2025-12-16 01:49:27,1,0,0.0,1,Electronics,Paid Search Ad,campaign_interaction
USR_01539,2025-12-16 01:51:50,1,0,0.0,11,Electronics,Paid Search Ad,campaign_interaction
USR_00862,2025-12-16 01:59:56,1,0,0.0,7,Sports,Retargeting Display Banner,campaign_interaction
USR_00485,2025-12-16 02:10:41,0,0,0.0,3,Home,In-App Push Message,campaign_interaction
USR_00314,2025-12-16 02:11:37,1,0,0.0,6,Sports,In-App Push Message,campaign_interaction
USR_01097,2025-12-16 03:16:29,1,0,0.0,11,Beauty,Paid Search Ad,campaign_interaction
USR_01612,2025-12-16 03:30:34,1,0,0.0,10,Home,In-App Push Message,campaign_interaction
USR_01493,2025-12-16 03:31:54,1,1,13079.81,2,Sports,In-App Push Message,campaign_interaction
USR_01912,2025-12-16 04:10:16,0,0,0.0,1,Electronics,Retargeting Display Banner,campaign_interaction
USR_01496,2025-12-16 04:14:42,1,0,0.0,7,Sports,In-App Push Message,campaign_interaction
USR_01689,2025-12-16 04:16:11,1,1,8044.54,11,Fashion,Email Newsletter,campaign_interaction
USR_01809,2025-12-16 04:20:34,1,0,0.0,2,Electronics,Paid Search Ad,campaign_interaction
USR_00513,2025-12-16 04:27:33,1,0,0.0,7,Sports,Retargeting Display Banner,campaign_interaction
USR_01385,2025-12-16 04:31:11,1,0,0.0,9,Beauty,In-App Push Message,campaign_interaction
USR_01680,2025-12-16 04:32:23,0,0,0.0,7,Beauty,Paid Search Ad,campaign_interaction
USR_00009,2025-12-16 04:35:46,1,0,0.0,9,Electronics,In-App Push Message,campaign_interaction
USR_01353,2025-12-16 04:36:08,1,0,0.0,11,Sports,Email Newsletter,campaign_interaction
USR_01521,2025-12-16 04:41:35,1,0,0.0,9,Home,In-App Push Message,campaign_interaction
USR_00540,2025-12-16 04:49:14,1,0,0.0,3,Sports,Email Newsletter,campaign_interaction
USR_01044,2025-12-16 04:54:13,1,0,0.0,7,Fashion,Paid Search Ad,campaign_interaction
USR_01878,2025-12-16 04:56:48,1,0,0.0,10,Beauty,Retargeting Display Banner,campaign_interaction
USR_00652,2025-12-16 05:00:14,1,0,0.0,9,Electronics,Retargeting Display Banner,campaign_interaction
USR_01319,2025-12-16 05:16:31,0,0,0.0,5,Electronics,Email Newsletter,campaign_interaction
USR_01923,2025-12-16 05:36:14,1,0,0.0,6,Sports,Retargeting Display Banner,campaign_interaction
USR_01975,2025-12-16 05:40:17,1,0,0.0,6,Beauty,In-App Push Message,campaign_interaction
USR_01598,2025-12-16 05:43:59,1,0,0.0,5,Electronics,In-App Push Message,campaign_interaction
USR_01308,2025-12-16 06:24:30,1,0,0.0,10,Electronics,In-App Push Message,campaign_interaction
USR_00137,2025-12-16 06:38:17,1,1,2761.15,12,Home,Paid Search Ad,campaign_interaction
USR_01307,2025-12-16 06:49:29,1,0,0.0,1,Electronics,Email Newsletter,campaign_interaction
USR_00737,2025-12-16 06:51:39,1,0,0.0,3,Beauty,Paid Search Ad,campaign_interaction
USR_01898,2025-12-16 06:58:51,0,0,0.0,2,Electronics,In-App Push Message,campaign_interaction
USR_01118,2025-12-16 07:07:32,1,0,0.0,4,Electronics,Paid Search Ad,campaign_interaction
